enemy_id,experiment_id,gen_id,gen_max,overall_max,mean,var,std
2,4,8,92.727,93.127,61.767363,1338.433737,36.584611
2,4,9,92.531096,93.127,63.880002,1205.277125,34.717101
2,4,10,92.58272,93.127,55.788994,1441.357359,37.965212
2,4,11,92.58272,93.127,59.112493,1259.9815,35.496218
2,4,12,92.93194,93.127,57.383174,1530.755587,39.124872
2,4,13,92.93194,93.127,68.620863,1273.851666,35.691059
2,4,14,92.53704,93.127,74.087961,941.872034,30.689934
2,4,15,92.13704,93.127,58.420922,1559.968219,39.496433
2,4,16,92.262462,93.127,65.812877,1244.892752,35.283038
2,4,17,93.527,93.527,66.532395,1324.83464,36.398278
2,4,18,92.53704,93.527,62.640474,1444.397494,38.00523
2,4,19,92.53704,93.527,58.527173,1572.959485,39.660553
2,4,20,92.53704,93.527,75.528991,982.765131,31.349085
